id,numero_empleado,fecha,dia_semana,horas_trabajadas,horas_incidencia,presente,fecha_creacion
5195,4,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5196,4,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5197,4,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5198,4,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5199,4,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5200,4,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5201,4,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5202,16,2025-10-16,LUN,0,0,true,2025-11-01T21:03:47.104679+00:00
5203,16,2025-10-17,MAR,0,0,true,2025-11-01T21:03:47.104679+00:00
5204,16,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5205,16,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5206,16,2025-10-20,VIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5207,16,2025-10-21,SAB,0,0,true,2025-11-01T21:03:47.104679+00:00
5208,16,2025-10-22,DOM,0,0,true,2025-11-01T21:03:47.104679+00:00
5209,17,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5210,17,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5211,17,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5212,17,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5213,17,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5214,17,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5215,17,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5216,18,2025-10-16,LUN,0,0,true,2025-11-01T21:03:47.104679+00:00
5217,18,2025-10-17,MAR,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5218,18,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5219,18,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5220,18,2025-10-20,VIE,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5221,18,2025-10-21,SAB,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5222,18,2025-10-22,DOM,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5223,21,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5224,21,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5225,21,2025-10-18,MIE,4,0,true,2025-11-01T21:03:47.104679+00:00
5226,21,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5227,21,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5228,21,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5229,21,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5230,24,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5231,24,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5232,24,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5233,24,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5234,24,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5235,24,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5236,24,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5237,25,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5238,25,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5239,25,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5240,25,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5241,25,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5242,25,2025-10-21,SAB,0,0,true,2025-11-01T21:03:47.104679+00:00
5243,25,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5244,33,2025-10-16,LUN,10,0,true,2025-11-01T21:03:47.104679+00:00
5245,33,2025-10-17,MAR,10,0,true,2025-11-01T21:03:47.104679+00:00
5246,33,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5247,33,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5248,33,2025-10-20,VIE,10,0,true,2025-11-01T21:03:47.104679+00:00
5249,33,2025-10-21,SAB,10,0,true,2025-11-01T21:03:47.104679+00:00
5250,33,2025-10-22,DOM,10,0,true,2025-11-01T21:03:47.104679+00:00
5251,60,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5252,60,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5253,60,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5254,60,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5255,60,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5256,60,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5257,60,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5258,61,2025-10-16,LUN,0,0,true,2025-11-01T21:03:47.104679+00:00
5259,61,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5260,61,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5261,61,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5262,61,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5263,61,2025-10-21,SAB,0,0,true,2025-11-01T21:03:47.104679+00:00
5264,61,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5265,65,2025-10-16,LUN,0,0,true,2025-11-01T21:03:47.104679+00:00
5266,65,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5267,65,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5268,65,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5269,65,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5270,65,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5271,65,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5272,71,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5273,71,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5274,71,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5275,71,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5276,71,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5277,71,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5278,71,2025-10-22,DOM,0,0,true,2025-11-01T21:03:47.104679+00:00
5279,76,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5280,76,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5281,76,2025-10-18,MIE,4,0,true,2025-11-01T21:03:47.104679+00:00
5282,76,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5283,76,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5284,76,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5285,76,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5286,81,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5287,81,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5288,81,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5289,81,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5290,81,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5291,81,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5292,81,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5293,83,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5294,83,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5295,83,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5296,83,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5297,83,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5298,83,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5299,83,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5300,106,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5301,106,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5302,106,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5303,106,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5304,106,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5305,106,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5306,106,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5307,128,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5308,128,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5309,128,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5310,128,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5311,128,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5312,128,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5313,128,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5314,141,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5315,141,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5316,141,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5317,141,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5318,141,2025-10-20,VIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5319,141,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5320,141,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5321,147,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5322,147,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5323,147,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5324,147,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5325,147,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5326,147,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5327,147,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5328,155,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5329,155,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5330,155,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5331,155,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5332,155,2025-10-20,VIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5333,155,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5334,155,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5335,175,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5336,175,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5337,175,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5338,175,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
