id,numero_empleado,fecha_baja,tipo,motivo,descripcion,observaciones,fecha_creacion
3647,2517,2025-01-06,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3648,1855,2025-01-07,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3649,137,2025-01-14,Baja,Rescisión por desempeño,,,2025-11-20T15:25:00.16974+00:00
3650,2310,2025-01-14,Baja,Rescisión por desempeño,,+4 FALTAS EN EL MES,2025-11-20T15:25:00.16974+00:00
3651,2048,2025-01-15,Baja,Otro trabajo mejor compensado,,,2025-11-20T15:25:00.16974+00:00
3652,2204,2025-01-17,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3653,2535,2025-01-17,Baja,Rescisión por disciplina,,+4 FALTAS,2025-11-20T15:25:00.16974+00:00
3654,2548,2025-01-19,Baja,Abandono / No regresó,,NO SE CUENTA CON TARJETA BANCA,2025-11-20T15:25:00.16974+00:00
3655,1581,2025-01-24,Baja,Otro trabajo mejor compensado,,,2025-11-20T15:25:00.16974+00:00
3656,2401,2025-01-24,Baja,Otro trabajo mejor compensado,,,2025-11-20T15:25:00.16974+00:00
3657,2379,2025-01-28,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3658,2520,2025-01-28,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3659,2531,2025-01-28,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3660,2455,2025-01-30,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3661,2545,2025-01-30,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3662,2554,2025-01-30,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3663,2555,2025-01-30,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3664,2560,2025-02-02,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3665,2161,2025-02-04,Baja,Término del contrato,,,2025-11-20T15:25:00.16974+00:00
3666,2339,2025-02-04,Baja,Término del contrato,,,2025-11-20T15:25:00.16974+00:00
3667,1444,2025-02-06,Baja,Rescisión por desempeño,,,2025-11-20T15:25:00.16974+00:00
3668,2462,2025-02-07,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3669,2565,2025-02-09,Baja,Abandono / No regresó,,No se cuenta con cuenta bancar,2025-11-20T15:25:00.16974+00:00
3670,2171,2025-02-10,Baja,Rescisión por desempeño,,,2025-11-20T15:25:00.16974+00:00
3671,2451,2025-02-10,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3672,2542,2025-02-10,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3673,2544,2025-02-11,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3674,2578,2025-02-16,Baja,Abandono / No regresó,,No se cuenta con cta bancaria.,2025-11-20T15:25:00.16974+00:00
3675,2556,2025-02-17,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3676,2558,2025-02-17,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3677,2522,2025-02-18,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3678,2524,2025-02-20,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3679,1962,2025-02-21,Baja,Rescisión por desempeño,,,2025-11-20T15:25:00.16974+00:00
3680,2584,2025-02-22,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3681,2587,2025-02-23,Baja,Abandono / No regresó,,No se cuenta con cuenta bancar,2025-11-20T15:25:00.16974+00:00
3682,1969,2025-02-24,Baja,Rescisión por desempeño,,,2025-11-20T15:25:00.16974+00:00
3683,2119,2025-02-24,Baja,Rescisión por disciplina,,,2025-11-20T15:25:00.16974+00:00
3684,2297,2025-02-26,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3685,2567,2025-02-26,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3686,2579,2025-03-02,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3687,2326,2025-03-03,Baja,Término del contrato,,,2025-11-20T15:25:00.16974+00:00
3688,2569,2025-03-06,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
3689,2444,2025-03-07,Baja,No le gustó el ambiente,,,2025-11-20T15:25:00.16974+00:00
3690,2573,2025-03-09,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3691,2485,2025-03-10,Baja,Rescisión por desempeño,,,2025-11-20T15:25:00.16974+00:00
3692,2557,2025-03-11,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3693,2582,2025-03-12,Baja,Rescisión por disciplina,,Probidad y honradez ya que tra,2025-11-20T15:25:00.16974+00:00
3694,2605,2025-03-16,Baja,Abandono / No regresó,,Sin cuenta bancaria.,2025-11-20T15:25:00.16974+00:00
3695,2607,2025-03-16,Baja,Abandono / No regresó,,Sin cuenta bancaria.,2025-11-20T15:25:00.16974+00:00
3696,2608,2025-03-16,Baja,Abandono / No regresó,,Sin cuenta bancaria.,2025-11-20T15:25:00.16974+00:00
3697,2568,2025-03-18,Baja,Otra razón,,Voluntaria,2025-11-20T15:25:00.16974+00:00
3698,2080,2025-03-20,Baja,Rescisión por desempeño,,,2025-11-20T15:25:00.16974+00:00
3699,2589,2025-03-22,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3700,2612,2025-03-30,Baja,Otra razón,,Voluntaira; no se cuenta con t,2025-11-20T15:25:00.16974+00:00
3701,2613,2025-03-30,Baja,Otra razón,,voluntaria; no se cuenta con c,2025-11-20T15:25:00.16974+00:00
3702,2614,2025-03-30,Baja,Otra razón,,Voluntaria; no se cuenta con t,2025-11-20T15:25:00.16974+00:00
3703,2615,2025-03-30,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3704,2617,2025-03-30,Baja,Abandono / No regresó,,No se cuenta con tarjeta banca,2025-11-20T15:25:00.16974+00:00
3705,2486,2025-03-31,Baja,Término del contrato,,,2025-11-20T15:25:00.16974+00:00
3706,2488,2025-03-31,Baja,Término del contrato,,,2025-11-20T15:25:00.16974+00:00
3707,2489,2025-03-31,Baja,Término del contrato,,,2025-11-20T15:25:00.16974+00:00
3708,2559,2025-03-31,Baja,Abandono / No regresó,,,2025-11-20T15:25:00.16974+00:00
3709,2562,2025-03-31,Baja,Otra razón,,Voluntaria,2025-11-20T15:25:00.16974+00:00
3710,2078,2025-04-01,Baja,Otra razón,,VOLUNTARIA,2025-11-20T15:25:00.16974+00:00
