"Fecha","#","Tipo","Motivo","Descripci?n","Observaciones"
"2025-01-06T00:00:00-08:00","2517","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-01-07T00:00:00-08:00","1855","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-01-14T00:00:00-08:00","137","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-01-14T00:00:00-08:00","2310","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat","+4 FALTAS EN EL MES"
"2025-01-15T00:00:00-08:00","2048","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-01-17T00:00:00-08:00","2204","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-01-17T00:00:00-08:00","2535","Baja","Rescisi?n por disciplina","Rescisi?n de contrat","+4 FALTAS"
"2025-01-19T00:00:00-08:00","2548","Baja","Abandono / No regres?","Abandono de empleo","NO SE CUENTA CON TARJETA BANCA"
"2025-01-24T00:00:00-08:00","1581","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-01-24T00:00:00-08:00","2401","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-01-28T00:00:00-08:00","2379","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-01-28T00:00:00-08:00","2520","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-01-28T00:00:00-08:00","2531","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-01-30T00:00:00-08:00","2455","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-01-30T00:00:00-08:00","2545","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-01-30T00:00:00-08:00","2554","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-01-30T00:00:00-08:00","2555","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-02T00:00:00-08:00","2560","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-04T00:00:00-08:00","2161","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-02-04T00:00:00-08:00","2339","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-02-06T00:00:00-08:00","1444","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-02-07T00:00:00-08:00","2462","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-09T00:00:00-08:00","2565","Baja","Abandono / No regres?","Abandono de empleo","No se cuenta con cuenta bancar"
"2025-02-10T00:00:00-08:00","2171","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-02-10T00:00:00-08:00","2451","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-02-10T00:00:00-08:00","2542","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-11T00:00:00-08:00","2544","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-16T00:00:00-08:00","2578","Baja","Abandono / No regres?","Abandono de empleo","No se cuenta con cta bancaria."
"2025-02-17T00:00:00-08:00","2556","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-17T00:00:00-08:00","2558","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-18T00:00:00-08:00","2522","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-02-20T00:00:00-08:00","2524","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-02-21T00:00:00-08:00","1962","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-02-22T00:00:00-08:00","2584","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-02-23T00:00:00-08:00","2587","Baja","Abandono / No regres?","Abandono de empleo","No se cuenta con cuenta bancar"
"2025-02-24T00:00:00-08:00","1969","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-02-24T00:00:00-08:00","2119","Baja","Rescisi?n por disciplina","Rescisi?n de contrat",""
"2025-02-26T00:00:00-08:00","2297","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-02-26T00:00:00-08:00","2567","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-03-02T00:00:00-08:00","2579","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-03-03T00:00:00-08:00","2326","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-03-06T00:00:00-08:00","2569","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-03-07T00:00:00-08:00","2444","Baja","No le gust? el ambiente","Separaci?n voluntari",""
"2025-03-09T00:00:00-08:00","2573","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-03-10T00:00:00-07:00","2485","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-03-11T00:00:00-07:00","2557","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-03-12T00:00:00-07:00","2582","Baja","Rescisi?n por disciplina","Rescisi?n de contrat","Probidad y honradez ya que tra"
"2025-03-16T00:00:00-07:00","2605","Baja","Abandono / No regres?","Abandono de empleo","Sin cuenta bancaria."
"2025-03-16T00:00:00-07:00","2607","Baja","Abandono / No regres?","Abandono de empleo","Sin cuenta bancaria."
"2025-03-16T00:00:00-07:00","2608","Baja","Abandono / No regres?","Abandono de empleo","Sin cuenta bancaria."
"2025-03-18T00:00:00-07:00","2568","Baja","Otra raz?n","Otra","Voluntaria"
"2025-03-20T00:00:00-07:00","2080","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-03-22T00:00:00-07:00","2589","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-03-30T00:00:00-07:00","2612","Baja","Otra raz?n","Otra","Voluntaira; no se cuenta con t"
"2025-03-30T00:00:00-07:00","2613","Baja","Otra raz?n","Otra","voluntaria; no se cuenta con c"
"2025-03-30T00:00:00-07:00","2614","Baja","Otra raz?n","Otra","Voluntaria; no se cuenta con t"
"2025-03-30T00:00:00-07:00","2615","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-03-30T00:00:00-07:00","2617","Baja","Abandono / No regres?","Abandono de empleo","No se cuenta con tarjeta banca"
"2025-03-31T00:00:00-07:00","2486","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-03-31T00:00:00-07:00","2488","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-03-31T00:00:00-07:00","2489","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-03-31T00:00:00-07:00","2559","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-03-31T00:00:00-07:00","2562","Baja","Otra raz?n","Otra","Voluntaria"
"2025-04-01T00:00:00-07:00","2078","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-04-02T00:00:00-07:00","2369","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-04-07T00:00:00-07:00","2495","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-04-10T00:00:00-07:00","2621","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-04-10T00:00:00-07:00","2627","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-04-11T00:00:00-07:00","2354","Baja","No le gustaron las instal","Separaci?n voluntari",""
"2025-04-13T00:00:00-07:00","2631","Baja","Motivos de salud","Separaci?n voluntari",""
"2025-04-13T00:00:00-07:00","2632","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-04-15T00:00:00-07:00","18","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-04-22T00:00:00-07:00","2088","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-04-25T00:00:00-07:00","2292","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-04-25T00:00:00-07:00","2511","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-04-26T00:00:00-07:00","2633","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-04-28T00:00:00-07:00","2629","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-02T00:00:00-07:00","2139","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-02T00:00:00-07:00","2525","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-06T00:00:00-07:00","2592","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-07T00:00:00-07:00","2583","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-09T00:00:00-07:00","2566","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-10T00:00:00-07:00","2598","Baja","Abandono / No regres?","Abandono de empleo","4 faltas en un periodo de 30 d"
"2025-05-12T00:00:00-07:00","2577","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-12T00:00:00-07:00","2642","Baja","Rescisi?n por disciplina","Rescisi?n de contrat",""
"2025-05-13T00:00:00-07:00","1947","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-05-13T00:00:00-07:00","2477","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-15T00:00:00-07:00","2630","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-16T00:00:00-07:00","2283","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-16T00:00:00-07:00","2638","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-05-19T00:00:00-07:00","1407","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-22T00:00:00-07:00","2400","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-23T00:00:00-07:00","1568","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-23T00:00:00-07:00","2534","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-23T00:00:00-07:00","2646","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-05-24T00:00:00-07:00","2595","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-24T00:00:00-07:00","2596","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-25T00:00:00-07:00","2591","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-05-27T00:00:00-07:00","2178","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-27T00:00:00-07:00","2446","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-29T00:00:00-07:00","2338","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-30T00:00:00-07:00","2619","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-05-31T00:00:00-07:00","2504","Baja","Otra raz?n","Otra","Voluntaria"
"2025-05-31T00:00:00-07:00","2505","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-05-31T00:00:00-07:00","2533","Baja","Otra raz?n","Otra","Voluntario"
"2025-05-31T00:00:00-07:00","2656","Baja","Abandono / No regres?","Abandono de empleo",""
